	beta	time	lags	sequences	reward	move_iti
0	A10	4.0	4.0	A	10	4.0
1	B30	13.4	5.4	B	30	4.3
2	B10	23.2	5.5	B	10	3.9
3	A10	32.6	5.5	A	10	4.0
4	B5	41.8	5.2	B	5	3.5
5	A30	50.5	5.2	A	30	3.7
6	B30	60.2	6.0	B	30	3.7
7	A30	70.5	6.6	A	30	4.3
8	B30	79.9	5.1	B	30	6.1
9	A10	91.8	5.8	A	10	3.5
10	B10	100.7	5.4	B	10	3.7
11	A5	109.5	5.1	A	5	3.9
12	B30	118.5	5.1	B	30	4.1
13	B10	128.1	5.5	B	10	3.7
14	B30	137.5	5.7	B	30	3.7
15	A10	146.5	5.3	A	10	4.0
16	B10	155.5	5.0	B	10	3.5
17	B5	164.6	5.6	B	5	3.5
18	B5	173.1	5.0	B	5	6.4
19	A5	185.3	5.8	A	5	3.6
20	B5	194.0	5.1	B	5	3.9
21	B10	203.6	5.7	B	10	4.1
22	A30	213.1	5.4	A	30	3.5
23	A30	222.9	6.3	A	30	4.0
24	A5	232.0	5.1	A	5	3.8
25	A30	240.8	5.0	A	30	4.2
26	A10	250.5	5.5	A	10	3.8
27	A5	260.6	6.3	A	5	3.5
28	A5	269.2	5.1	A	5	3.5
29	B5	278.1	5.4	B	5	3.6
30	B5	4.7	4.7	B	5	5.5
31	A10	15.3	5.1	A	10	4.8
32	B10	25.7	5.6	B	10	4.7
33	A30	35.6	5.2	A	30	3.9
34	A5	44.7	5.2	A	5	4.0
35	B30	54.5	5.8	B	30	4.0
36	B5	63.5	5.0	B	5	3.9
37	A5	72.4	5.0	A	5	3.5
38	A10	81.7	5.8	A	10	3.5
39	A30	90.8	5.6	A	30	3.9
40	B10	99.9	5.2	B	10	3.5
41	A10	108.9	5.5	A	10	4.2
42	B30	118.6	5.5	B	30	3.5
43	B5	127.9	5.8	B	5	3.7
44	A30	136.9	5.3	A	30	3.5
45	A5	145.4	5.0	A	5	3.5
46	B30	155.1	6.2	B	30	3.5
47	B10	163.6	5.0	B	10	4.1
48	B10	173.5	5.8	B	10	3.9
49	A10	182.9	5.5	A	10	5.4
50	B30	193.5	5.2	B	30	3.5
51	A30	202.3	5.3	A	30	4.4
52	A5	211.7	5.0	A	5	4.1
