	sequences	time	lags	move_iti
0	A	4.0	4.0	3.1
1	A	11.6	4.5	3.1
2	A	19.7	5.0	3.1
3	A	27.5	4.7	3.1
4	random	35.1	4.5	3.2
5	A	42.8	4.5	3.0
6	A	50.5	4.7	3.5
7	B	58.7	4.7	3.6
8	A	67.0	4.7	3.5
9	A	75.6	5.1	3.4
10	A	83.9	4.9	3.3
11	A	91.8	4.6	3.1
12	A	99.6	4.7	3.3
13	A	107.5	4.6	3.9
14	random	115.9	4.5	3.4
15	A	124.2	4.9	3.0
16	random	131.7	4.5	3.1
17	B	139.8	5.0	3.0
18	A	147.3	4.5	3.0
19	A	155.0	4.7	3.2
20	A	162.7	4.5	4.1
21	B	171.3	4.5	3.0
22	A	179.3	5.0	3.2
23	A	187.0	4.5	3.1
24	random	195.0	4.9	5.1
25	A	204.6	4.5	3.1
26	A	213.1	5.4	3.5
27	B	221.7	5.1	3.4
28	A	229.6	4.5	3.3
29	random	238.2	5.3	4.4
30	A	247.1	4.5	3.3
31	A	255.6	5.2	3.0
32	A	263.1	4.5	4.2
33	A	272.1	4.8	3.1
34	B	280.0	4.8	3.4
35	A	4.2	4.2	3.2
36	A	12.2	4.8	3.5
37	A	20.4	4.7	3.1
38	A	28.1	4.6	3.6
39	random	36.4	4.7	3.1
40	A	44.0	4.5	3.3
41	A	52.0	4.7	3.1
42	A	60.0	4.9	3.3
43	A	67.9	4.6	3.5
44	B	77.1	5.7	3.1
45	A	84.7	4.5	3.2
46	A	92.4	4.5	3.1
47	A	100.0	4.5	3.0
48	B	107.6	4.6	3.4
49	A	115.6	4.6	3.6
50	A	124.0	4.8	3.0
51	random	131.6	4.6	3.0
52	A	139.3	4.7	3.1
53	A	146.9	4.5	3.4
54	random	155.5	5.2	3.1
55	A	163.2	4.6	3.4
56	B	173.7	7.1	3.0
57	A	181.2	4.5	3.1
58	random	188.9	4.6	3.3
59	A	196.8	4.6	3.1
60	A	204.7	4.8	3.0
61	A	212.7	5.0	3.9
62	A	221.1	4.5	3.2
63	A	229.0	4.7	3.0
64	B	236.5	4.5	3.8
65	A	244.8	4.5	3.1
66	A	252.5	4.6	3.3
67	random	261.0	5.2	3.6
68	A	269.8	5.2	4.0
